Sentences,Types,Classification,Type,Classifications,Classifications_name
Collaborate with other artists.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Collect images that inspire you	.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Color in your snowflake with white, blue and purple.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Color nearby objects by drawing them upside-down.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Color the drawing.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Color Water with Natural Dyes.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Color water with natural powdered food coloring.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Color Your Sketches.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Compare the negative space in your letters to the sample of errors.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Compile a chronological history of your house.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Complete these by tomorrow.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Complete these work by tomorrow.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Complete, an animal husbandry program in college.",INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Conduct a patent search.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Consider buying a zoo membership.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Consider either not giving cell phones to children or in emergency circumstances.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Consider gluing 1/27 centimeters wide cardboard strip.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Consider the red dress.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Consider which positions you are willing to work in.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Consult search experts.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Contact the nearest Patent and Trademark Depository Library.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Continue to heat the thermoplastic around edges.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Continue to wind the hose around itself to create the basket base.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Convert one of your favorite t shirts into personalized pillow.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Cool down after you jog with walking and light stretches.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Counter your negative thoughts.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Cover the lock opening with a magnet.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Create a child safety bead bracelet with your phone number on it.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Create a constellation of 3D paper stars.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Create a list of sites you want to see.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Create a serif stroke at the top of a line.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Create an online portfolio to showcase your best work.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Create artwork based around popular topics to help people find you.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
"Create in the previous step, clamping all four sides until the glue dries.",INSTRUCTION,SIMPLE INSTRUCTION,1,5,INSTRUCTION WITH SEQUENCE
Create online content.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Create own subtitles by hand using Notepad.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Create social media accounts to reach new fans.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Create subtitles in your favorite movie editor.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Create water droplets by adding highlights to a bubble shape.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Create Your Own Subtitles.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Creating a Cozy Atmosphere.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Cure your sculpture.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Cut 36 to 40 A‚ A in piece of tin foil.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Cut a hole in the top of the shoe box to slide the neck tube through.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Cut a large hole in the center of a shoe box lid.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Cut along the inner squares on all three frame pieces.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Cut along the outer guideline to finish the frame pieces.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Cut clean slices of cheesecake and soft desserts with dental floss.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Cut four 1 inch wide strips of cardboard.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Cut four to six rubber bands open.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Cut newspaper into one of a kind snowflakes.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Cut off healthy stems about 5 to 8 inches long.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Cut out the inner square of each frame piece.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Cut the final platen out of the frame lines drawn earlier.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Cut the frames from MDF.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Cut with Snips.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Decide what you want to draw.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Decide where you would like this lake to be set.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Decide whether you wish to file a provisional or a non provisional patent application.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Decorate the guitar.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Decorate the tube.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Descend to the moons surface.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Determine the launch window.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Determine whether your invention is new .,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Dig a hole at least 15 inches.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Disclose in the references cited in the patents.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Display sentimental items where you can see them.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Distract your mind with an uplifting TV show.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Do not go to sleep.,INSTRUCTION,SIMPLE INSTRUCTION,1,6,NEGATIVE INSTRUCTION 
Do something you enjoy.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Do with quick and easy method.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Do your chores!.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Dock with the orbiting vessel.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Download the torrent.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw a 6 pointed star in the center of the hexagon.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw a cool airplane or space shuttle for art that flies off the page.,INSTRUCTION,SIMPLE INSTRUCTION,1,3,INSTRUCTION WITH OPTION
Draw a crescent at the bottom of the cross slightly wider than the crossbar width.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw a cross section at the circle and a curve inclined to the right.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Draw a Dragon to make a detailed fantasy creature.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Draw a hexagon on a piece of paper.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw a larger cylinder under the earlier smaller cylinder.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw a line from each corner of the hexagon to the corner across from it.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Draw a medium sized circle at the top of the page.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Draw a rectangle approximately 3 Ã‚Â½ by 4 Ã‚Â½ inches or another small geometric shape, if using sheets of paper.",INSTRUCTION,SIMPLE INSTRUCTION,1,7,INSTRUCTION WITH REASON
Draw a ring.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw a teardrop shape in the center of the page.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw a thick cross underneath the outer circle.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw a thick cylinder underneath with a circular base.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw a vertical oval which overlaps almost half of the circle.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw an outline around the shapes.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw an upside down teardrop under the teardrop from the previous step.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw animals Birds flying or stationery and insects are all great additions to make a lake scene lively.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw ascenders above the x height.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw cool buildings in perspective to practice basic shapes.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw curves at the bottom of the oval to create a sense of flotation to the ghost.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw digital waves with a hard brush tool.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw insects if you want to make multiple small drawings.,INSTRUCTION,SIMPLE INSTRUCTION,1,7,INSTRUCTION WITH REASON
"Draw long, curved teardrops for each arm.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw the eyes and mouth and make it like a skull .,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Draw the left and right arms using curves.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Draw the outline of the anchor based on the sketch.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Draw with a mouse.,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
Dress appropriately for the weather.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Drill 32 inch holes at each intersection.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Drill a hole on one side using the hole saw or adapter.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Drill a small hole in the license plate mounting area.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Drink with water bottle.,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
Drive slowly.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Dry air completely.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Edit your photographs with your favourite photo editor.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Embellish mason jars and flower pots.,INSTRUCTION,NON INSTRUCTION,1,2,MANDATORY INSTRUCTION
Embroider a beaded paper plate dreamcatcher.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Employ a registered patent attorney or agent.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
End the conversation professionally.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Enjoy it!.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Enjoy some fresh strawberries.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Enjoy the meal.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Enroll in .,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Ensure a clean mold.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Erase the extra lines around your snowflake.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Erase the guidelines.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Erase the sketch lines and draw a scary face.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Establish rapport through empathy.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Evaluate the materials used.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Everybody look!.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Exfoliate your skin.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Explore a new skill or concept that could benefit your art.,INSTRUCTION,SIMPLE INSTRUCTION,1,3,INSTRUCTION WITH OPTION
Explore the possibilities of your No 2 pencil.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Explore.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Face your fears.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Feed the rubber bands up through the string holes.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Feed your pet.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Filing a patent application.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Fill a clean tub, bucket or sink.",INSTRUCTION,SIMPLE INSTRUCTION,1,5,INSTRUCTION WITH SEQUENCE
Fill a plastic spray bottle with bottled or filtered tap water.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Filter tap water.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Find a copy of your property abstract.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Find a pair of wire cutters with a flat blade bigger than 1 inch .,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Find a tube that is longer than your shoe box to make the neck.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Find decoupage material from books, magazines, or newspapers.",INSTRUCTION,SIMPLE INSTRUCTION,1,5,INSTRUCTION WITH SEQUENCE
Find my leather jacket.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Find the best directions to the zoo.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Find the movies you want to subtitle.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Find the right file.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Find the subtitles you want and download.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Find your classification codes.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Finger paint your masterpiece.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Flatten out the edges of the hat.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Flood the hole with water.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Fold the bottom flaps of the diamond up.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Fold the foil widthwise again.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Fold the piece of foil in half widthwise.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Fold the piece of tin foil in half lengthwise.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Fold the piece of tin foil in half.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Fuel your body with a protein rich meal 2 to 4 hours before jogging.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Fuse your camera wires with the reverse light wires.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Gather your materials.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Gather your supplies.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Get a full even color.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Get a running buddy	.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Get a water supply for painting.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Get an external monitor.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Get away from normal eye level.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Get rid of any extra energy.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Get rid of any rust spots with sandpaper.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Get there early.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Get vaccinated before your holiday.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Get well!.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Get your basic settings right.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Give it an id tag in case it escapes.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Give me that bowl.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Give us the gate key.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Give your pet fresh water every day.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Give your puppy more exercise.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Glue a wooden ruler or paint stir stick to the back of the plate.,INSTRUCTION,SIMPLE INSTRUCTION,1,3,INSTRUCTION WITH OPTION
Glue down a popsicle stick above and below the hole.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Glue the platen to the top of the former box.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Glue this final piece to the bottom of the vacuum former box.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Glue two of the cardboard strips above and below to make the bridge.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Glue two paper plates together.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Go for a landing.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Go now!.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Go outside to take in nature.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Go to class.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Go to page 75.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Go to sleep.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Go to torrent website.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Go to your local municipal planning agency.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Grab a pair of heavy duty kitchen or craft scissors.,INSTRUCTION,SIMPLE INSTRUCTION,1,3,INSTRUCTION WITH OPTION
Grab a spade from a garden.,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
Grab a water bottle.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Grab that bottle.,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
Grant me a loan.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Groom your pet as needed.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Hang art and photos.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Have a cup of cappuccino.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Have a good trip.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Have courage.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Have your pet microchipped.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Head back to earth.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Help me with this, will you?.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Hide clutter in drawers, boxes and bowls.",INSTRUCTION,SIMPLE INSTRUCTION,1,5,INSTRUCTION WITH SEQUENCE
Hide your valuables on the beach in an empty sunscreen bottle.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Hold your pen at about a 40 angle to the paper.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Hold your watercolor box.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Hold your wire cutters loosely while you line them up on the stick.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"However, it is important that you have the conversation when there are not a lot of distractions.",INSTRUCTION,NON INSTRUCTION,1,0,NON INSTRUCTION
Identify the necessary textures.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Identify the scenarios that scare you.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Identify where this outdoor basket will be helpful.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Identify yourself and the company.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Identify yourself first when calling another person.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
import the invention into the United States until your patent expires.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Improve your technique.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Incorporate the same color scheme.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Increase the distance between the phone and your head.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Increase Your Online Presence.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Increase your time and distance gradually.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Install a pond aerator if the water is too warm.,INSTRUCTION,SIMPLE INSTRUCTION,1,7,INSTRUCTION WITH REASON
Interface with various themed hack simulator.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Iron a dress shirt collar fast with a hair straightener iron.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
It is important to make sure that the person who needs your support feels a sense of confidentiality.,INSTRUCTION,NON INSTRUCTION,1,0,NON INSTRUCTION
Jot down in words your impressions.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Keep a pen and paper next to you.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Keep Extra Strategies in Mind.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Keep fit.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Keep indoors if the weather is cold.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Keep layering until you reach your desired color.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Keep some leaves on the stem when you replant it.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Keep still, would not  you?.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Keep the water between 60f and 75f in the summer.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Keep your packaged bread fresher longer with a plastic bottle top.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Know that you can only add subtitles.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Know what foods you should never give your pet.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Know who can apply for a patent.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Laugh during the scary part of the movie.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Lay a wooden spoon over the top of a pot to prevent a boil over.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Learn how your pet likes to be handled.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Learn something new.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
